487.7			240.8		1.5		237.7		245
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
165			511.2		3		504		517
1103.6		609.6		1.5		603		615
135.2			768.8		2		756.5		774
79 			784.5 	0.7 		778.4 	792
74.14 		910.1 	1.25 		904.7 	 915.7
96			935		1.25		927		940
290			1121		1.5		1115.5	1127
114			1239		2		1232 		1242
88			1379.2	2		1373.8	1384.3
641.5			1462.3	2		1455		1467
49			1510		2.25		1504.5	1516
25			1662		2.34		1655		1668
52.8			1730.5	2.5		1725		1735
240			1766		2.25		1760		1771
37 			1845.6 	2.5 		1839.8 	1854.2
19			2104.5	3		2097.6	2111.6
20 			2116.8 	1 		2110.6 	2123.9
65			2205.5	3		2199		2213
23			2449.3	2.25		2439.8	2457
118 			2616.5	 3 		2606 		2622
